decoy                                  RMSD         CONTACT      R_GYRATION       AB_ENERGY           ANGLE            BOND           DIHED             EEL           EELEC             EGB           ESURF              NB         VDWAALS
decoy59_83_A_AMBER_minimized.pdb      7.2800    -44.0000000      13.3088679      -0.1434735   10112.9124000     139.4390000     530.6203000    1012.2937000   -1824.4900000    -981.7355000      28.0888000     161.9498000     -90.6567000 
decoy67_14_A_AMBER_minimized.pdb      6.8400    -24.0000000      24.4999502      -0.1056757   10120.4289000     103.5145000     524.8742000     996.6460000   -1830.0243000    -892.3188000      29.0617000     182.7980000    -123.9056000 
decoy23_200_A_AMBER_minimized.pdb     9.5800    -28.0000000      28.4840415      -0.1039945   10113.8065000     100.7384000     504.6616000     975.3187000   -1696.9112000   -1052.3200000      30.1034000     155.9216000    -110.1145000 
decoy32_57_A_AMBER_minimized.pdb      7.6200    -49.0000000      41.8069044      -0.1527786   10132.6839000     107.1431000     510.5479000    1045.3613000   -2000.6585000    -867.2005000      30.9990000     157.2282000    -104.7181000 
decoy1_10_A_AMBER_minimized.pdb       1.4000    -47.0000000      10.6323418      -0.1387717   10112.2072000      79.6129000     520.1689000    1007.5891000   -1924.6667000    -875.8880000      31.8013000     155.8059000    -125.8144000 
decoy4_8_A_AMBER_minimized.pdb        5.9000    -45.0000000      27.8617982      -0.1068225   10107.1120000      81.1197000     558.6852000    1025.1977000   -1864.6048000    -967.2823000      32.1363000     153.1903000    -120.3574000 
decoy34_144_A_AMBER_minimized.pdb    10.6100    -30.0000000      62.2358639      -0.1399062   10150.7967000     131.9684000     541.3748000    1009.8573000   -1622.1392000   -1126.7290000      32.6634000     168.1544000     -55.7066000 
decoy54_201_A_AMBER_minimized.pdb    11.8300    -27.0000000      14.6813436      -0.1642238   10111.0607000      77.7933000     530.5817000    1000.0097000   -1831.3567000    -946.2554000      33.6276000     159.0316000    -153.8841000 
decoy54_202_A_AMBER_minimized.pdb    11.9000    -29.0000000      14.8449758      -0.1740124   10118.6427000      64.9390000     494.1954000    1021.7627000   -1960.8913000    -851.8832000      32.4951000     165.9506000    -130.4666000 
decoy37_5_A_AMBER_minimized.pdb       7.8200    -31.0000000      27.5377016      -0.1454637   10113.9123000      98.9748000     538.2293000    1059.8272000   -2061.2436000    -790.0560000      29.8545000     169.6908000    -104.4831000 
decoy68_1_A_AMBER_minimized.pdb       5.6300    -19.0000000      48.7313038      -0.1182536   10112.6140000      74.1247000     507.2648000    1011.0315000   -1911.2061000    -901.9667000      34.1659000     168.1539000     -95.4585000 
decoy17_140_A_AMBER_minimized.pdb     9.7700    -36.0000000      18.9884143      -0.1566997   10234.0996000     163.8315000     544.7580000    1005.3534000   -1813.8243000    -958.4421000      28.8674000     180.6362000    -129.5905000 
decoy17_92_A_AMBER_minimized.pdb      9.9900    -18.0000000      56.4883550      -0.2032742   10116.3785000      61.7678000     565.9556000    1026.3588000   -1987.1699000    -862.8451000      30.2906000     161.6513000    -144.9933000 
decoy5_7_A_AMBER_minimized.pdb        3.4800    -47.0000000      22.3778827      -0.1485442   10115.9075000     115.6343000     465.4540000    1000.9044000   -1843.3569000    -954.6932000      31.8635000     158.4265000    -148.2171000 
decoy22_73_A_AMBER_minimized.pdb      5.7800    -42.0000000      54.1249579      -0.1692005   10113.1403000      86.1444000     525.1823000    1023.1209000   -1959.9209000    -855.9548000      32.2227000     165.9490000    -136.9249000 
decoy61_6_A_AMBER_minimized.pdb       7.0700    -29.0000000      23.2659233      -0.1248572   10130.7375000      93.4242000     484.3209000    1042.6927000   -1440.9312000   -1322.2664000      32.0349000     172.4084000    -130.6795000 
decoy45_64_A_AMBER_minimized.pdb     11.5200    -24.0000000      12.5429636      -0.1369652   10128.0015000     115.5997000     568.8510000    1042.0298000   -1854.8123000    -938.7198000      29.6114000     169.5331000     -72.8355000 
decoy10_87_A_AMBER_minimized.pdb      5.9300    -46.0000000      32.3229730      -0.1943988   10122.9424000      92.2033000     508.3947000    1038.4124000   -2018.7651000    -814.0757000      30.3472000     170.2557000     -60.8299000 
decoy17_160_A_AMBER_minimized.pdb    10.2400    -37.0000000      21.8893057      -0.1328638   10114.4342000      77.3953000     558.4960000    1010.9446000   -1766.7524000   -1028.0208000      30.6448000     155.7930000    -129.8202000 
decoy1_4_A_AMBER_minimized.pdb        1.3900    -51.0000000      12.1301246      -0.1242890   10118.4269000      69.0029000     517.1107000     986.2422000   -1951.3336000    -854.8364000      29.6116000     158.7944000    -135.9414000 
decoy65_91_A_AMBER_minimized.pdb      8.7000    -18.0000000      20.9658678      -0.2104500   10124.2278000      86.5739000     484.7223000    1016.8945000   -1904.3304000    -894.2457000      27.1303000     164.7908000    -146.6302000 
decoy40_1_A_AMBER_minimized.pdb       4.6400    -19.0000000      21.7000948      -0.0912270   10128.0856000     106.2510000     510.3310000    1020.3020000   -1884.7657000    -905.9175000      33.9482000     183.8880000     -95.0447000 
decoy10_13_A_AMBER_minimized.pdb      3.9600    -44.0000000      29.6369629      -0.1301797   10123.3329000      94.0399000     547.2583000     987.5226000   -1741.1207000   -1036.6936000      31.3743000     141.7428000    -142.2997000 
decoy54_147_A_AMBER_minimized.pdb     9.1000    -18.0000000      31.6843772      -0.2114255   10129.0406000     149.0316000     558.2630000    1017.1887000   -1857.3115000    -929.3387000      28.9239000     167.9619000    -106.4661000 
decoy66_106_A_AMBER_minimized.pdb     8.4600    -23.0000000      51.9989028      -0.1330184   10131.7246000     114.2048000     560.9142000    1067.2094000   -1838.0499000   -1022.5809000      30.6978000     177.3532000    -108.9857000 
decoy25_40_A_AMBER_minimized.pdb      4.7300    -52.0000000      26.4364370      -0.1452075   10114.7568000     123.6544000     534.1248000     990.5655000   -1986.7114000    -821.5423000      32.6324000     153.8165000    -108.5494000 
decoy4_44_A_AMBER_minimized.pdb       6.6600    -51.0000000      26.6856128      -0.1316085   10151.9600000     210.6814000     493.6354000    1014.6472000   -1937.9078000    -837.4376000      27.2373000     165.1256000     -80.0341000 
decoy33_136_A_AMBER_minimized.pdb     6.0200    -47.0000000      32.7897034      -0.1377553   10104.8727000      56.4810000     493.4694000    1008.5691000   -1843.6474000    -936.6069000      31.8237000     164.9889000    -165.5539000 
decoy58_58_A_AMBER_minimized.pdb      8.2800    -33.0000000      44.3026046      -0.1211194   10124.5903000      99.0071000     506.5849000     998.3428000   -1819.9250000    -949.3133000      32.2591000     172.1335000    -145.4324000 
decoy17_14_A_AMBER_minimized.pdb      6.1400    -27.0000000      27.4335765      -0.1743546   10109.4617000     157.3669000     525.4956000     965.3954000   -1789.8440000    -945.4027000      30.6410000     163.1657000     -56.8032000 
decoy24_11_A_AMBER_minimized.pdb      3.6300    -49.0000000      20.2365591      -0.1554429   10187.7898000     156.9113000     516.6835000     977.6985000   -1803.6353000    -942.3553000      28.0694000     167.1796000    -159.4468000 
decoy55_154_A_AMBER_minimized.pdb    10.4000    -17.0000000      44.9858805      -0.1005801   10143.8577000     164.3586000     534.3631000    1009.6170000   -1948.8997000    -832.9641000      29.8629000     176.7947000     -48.9738000 
